masa_id,codigo_masa,producto_masa_id,producto_codigo,producto_nombre,unidades_pedidas,upq,multiplo_divisor,panesSugeridosRaw,panesSugeridosAjustado,cantidad_divisiones,multiplicador,categorias
2052,MASA-OV-20260820-035,6602,PANPAQ91,"PAN PERRO GOLD GRA X6 CONG",10,6,1,60,60,72,1.2000,SIN_CATEGORIA
2053,MASA-OV-20260820-036,6603,PANPAQ10,"PAN ARABE CUADRADO X10",8,10,20,80,80,100,1.2500,MULTIPLO_DIVISOR
2058,MASA-OV-20260820-028-B,6608,PASPAQ05,"TARTANA AMAPOLA",75,1,1,75,75,75,1.0000,SUBDIVISION
2061,MASA-OV-20260821-003,6611,PANPAQ07,"PAN ARABE SUB X 4 CONG",105,4,1,420,420,107,0.2548,SIN_CATEGORIA
2061,MASA-OV-20260821-003,6613,PANPAQ67,"PAN ARABE HAMBURGUESA GRA X 3",16,3,1,48,48,18,0.3750,SIN_CATEGORIA
2061,MASA-OV-20260821-003,6614,PANPAQ06,"PAN ARABE SUB X 4",4,4,1,16,16,6,0.3750,SIN_CATEGORIA
2061,MASA-OV-20260821-003,6615,PANPAQ26,"PAN ARTELLANO MED X 4 CONG",110,4,1,440,440,112,0.2545,SIN_CATEGORIA
2066,MASA-OV-20260821-008,6624,PANPAQ164,"PAN TRES GRANOS JUNIOR X4 CONG",15,4,1,60,60,68,1.1333,SIN_CATEGORIA
2073,MASA-OV-20260821-015,6639,PANPAQ51,"PAN CENTENO SUB X4 CONG",38,4,1,152,152,160,1.0526,SIN_CATEGORIA
2077,MASA-OV-20260821-011-A,6645,PASPAQ03,"TARTANA ZANAWOW",74,1,1,74,74,128,1.7297,SUBDIVISION
